検索キー,医療機関名,正規化住所,郵便番号,電話番号,オンライン予約用ページアドレス,相談センター等からの紹介,自院患者,濃厚接触者,小児,妊婦,区市町村,行政コード,大字,それ以降の住所,ビル名・階数・部屋番号,PCR,抗原定量,抗原定性,鼻咽頭,鼻腔,唾液,その他,月（午前）,月（午後）,火（午前）,火（午後）,水（午前）,水（午後）,木（午前）,木（午後）,金（午前）,金（午後）,土（午前）,土（午後）,日（午前）,日（午後）,対応できる外国語,診療検査日時が祝日の場合,それ以降の住所
医療法人社団 野村医院板橋２－６５－１０－２Ｆ,医療法人社団 野村医院,東京都板橋区板橋２－６５－１０－２Ｆ,173-0004,03-3964-8544,,1,1,1,1,1,板橋区,13119,板橋,２－６５－１０－２Ｆ,,1,,1,1,,1,,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,,,,,,板橋２－６５－１０－２Ｆ
たかの内科クリニック王子1丁目10-17-5階,たかの内科クリニック,東京都北区王子1丁目10-17-5階,114-0002,03-3912-8544,,1,1,1,1,1,北区,13117,王子,1丁目10-17-5階,,1,,1,1,,,,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,,,9:00~13:00,14:30~18:30,9:00~13:00,,,,,,王子1丁目10-17-5階
高山医院上連雀４－２－２９,高山医院,東京都三鷹市上連雀４－２－２９,181-0012,0422-43-0700,,1,1,1,1,,三鷹市,13204,上連雀,４－２－２９,,1,,1,1,,1,,9:00~12:00,16:00~17:00,9:00~12:00,16:00~17:00,9:00~12:00,16:00~17:00,,,9:00~12:00,16:00~17:00,9:00~12:00,,,,Ti?ng Vi?t,,上連雀４－２－２９
医療法人社団桜春会 平沢クリニック南田園1-3-11,医療法人社団桜春会 平沢クリニック,東京都福生市南田園1-3-11,197-0004,042-539-0551,,1,1,,,,福生市,13218,南田園,1-3-11,,1,,1,1,1,1,,11:45~12:00,0:00~13:00,11:45~12:00,0:00~13:00,,,,,11:45~12:00,12:00~13:00,,,,,,,南田園1-3-11
"医療法人社団　松久会　対馬内科医院浮間２－２１－２","医療法人社団　松久会　対馬内科医院",東京都北区浮間２－２１－２,115-0051,03-3969-3511,,1,1,,,,北区,13117,浮間,２－２１－２,,1,,1,1,1,,,,15:00~15:30,11:30~12:00,,,15:00~15:30,,,11:30~12:00,,,,,,なし,,浮間２－２１－２
医療法人信明会コスモスクリニック加平3-4-1 ウィステリアガーデン 3F,医療法人信明会コスモスクリニック,東京都足立区加平3-4-1 ,121-0055,03-5849-5611,,1,1,,1,1,足立区,13121,加平,3-4-1 ,ウィステリアガーデン 3F,1,,1,1,1,1,,9:00~11:30,13:30~17:30,,,9:00~11:30,13:30~17:30,9:00~11:30,13:30~17:30,,,9:00~11:30,13:30~17:30,,,韓国語,,加平3-4-1 ウィステリアガーデン 3F
しおばら内科循環器クリニック雑司ヶ谷3-8-13,しおばら内科循環器クリニック,東京都豊島区雑司ヶ谷3-8-13,171-0032,03-3982-5530,,1,1,,1,,豊島区,13116,雑司ヶ谷,3-8-13,,,,1,,1,,,,12:00~12:30,,12:00~12:30,,,,12:00~12:30,,23:30~12:30,,,,,,,雑司ヶ谷3-8-13
稲城市立病院大丸1171,稲城市立病院,東京都稲城市大丸1171,206-0801,042-377-0931,,1,1,1,1,1,稲城市,13228,大丸,1171,,1,,1,1,,1,,9:00~10:00,,9:00~10:00,,9:00~10:00,,9:00~10:00,,9:00~10:00,,,,,,,,大丸1171
医療法人社団幸翔会 鳥居医院赤堤3-2-16,医療法人社団幸翔会 鳥居医院,東京都世田谷区赤堤3-2-16,156-0044,03-5300-7722,,1,1,,,,世田谷区,13112,赤堤,3-2-16,,1,,1,1,1,,,10:30~12:30,16:00~18:00,10:30~12:30,16:00~18:00,,,10:30~12:30,16:00~18:00,10:30~12:30,16:00~18:00,10:30~12:30,,,,,,赤堤3-2-16
さくらんぼキッズクリニック南町4-1-17 リールヴィーヴル,さくらんぼキッズクリニック,東京都東久留米市南町4-1-17 ,203-0031,042-497-6200,,1,1,,2,,東久留米市,13222,南町,4-1-17 ,リールヴィーヴル,,,1,1,,,,,12:00~13:00,,23:30~13:00,,,,12:00~13:00,,12:00~13:00,12:00~13:00,,,,,,南町4-1-17 リールヴィーヴル
医療法人社団 泉壽会 富士見診療所十条仲原3-1-5,医療法人社団 泉壽会 富士見診療所,東京都北区十条仲原3-1-5,114-0031,03-3900-5354,,1,1,,1,,北区,13117,十条仲原,3-1-5,,1,,1,1,,1,,11:00~12:00,,11:00~12:00,,11:00~12:00,,11:00~12:00,,11:00~12:00,,11:00~12:00,,,,日本語のみ,,十条仲原3-1-5
むらい浜田山クリニック高井戸東４－２７－１７,むらい浜田山クリニック,東京都杉並区高井戸東４－２７－１７,168-0072,03-5370-2222,https://murai.clinic,1,1,1,1,1,杉並区,13115,高井戸東,４－２７－１７,,1,,1,1,1,1,,,18:00~20:00,,18:00~20:00,,,,,,18:00~20:00,,,,,英語、スペイン語、ポルトガル語,,高井戸東４－２７－１７
社会福祉法人 東京有隣会　有隣病院船橋 2丁目15番38号,社会福祉法人 東京有隣会　有隣病院,東京都世田谷区船橋 ,156-0055,03-3482-3611,,1,1,1,,,世田谷区,13112,船橋 ,,2丁目15番38号,1,,,1,,1,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,,,,,,,,船橋 2丁目15番38号
善平医院東上野６－２－１３,善平医院,東京都台東区東上野６－２－１３,110-0015,03-3843-7055,,1,1,,,,台東区,13106,東上野,６－２－１３,,1,,1,1,,1,,11:30~12:00,12:00~13:30,11:30~12:00,12:00~13:30,11:30~12:00,12:00~13:30,11:30~12:00,12:00~13:30,11:30~12:00,12:00~13:30,,,,,,,東上野６－２－１３
東京ツナクリニック住吉2－10－12 本宮ビル2階,東京ツナクリニック,東京都江東区住吉2－10－12 ,135-0002,web予約,https://medical.apokul.jp/web/326/reservations/add,1,1,1,1,1,江東区,13108,住吉,2－10－12 ,本宮ビル2階,1,,1,1,1,1,,10:00~13:00,13:00~18:30,,13:00~18:30,10:00~13:00,13:00~18:30,10:00~13:00,13:00~18:30,,13:00~18:30,,,,,英語,1,住吉2－10－12 本宮ビル2階
医療法人社団いつき会ハートクリニック小菅4丁目14番地5号レインボーヒルズ1階,医療法人社団いつき会ハートクリニック,東京都葛飾区小菅4丁目14番地5号レインボーヒルズ1階,124-0001,03-3602-1810,,1,1,,,,葛飾区,13122,小菅,4丁目14番地5号レインボーヒルズ1階,,,,,,,,,,,,,,,,,,,,,,,,,小菅4丁目14番地5号レインボーヒルズ1階
豊村医院耳鼻咽喉科　音声・聴覚メディカルケア亀戸5-15-1　いなきやビル3階,豊村医院耳鼻咽喉科　音声・聴覚メディカルケア,東京都江東区亀戸5-15-1　,136-0071,03-5858-8604,,1,1,,1,1,江東区,13108,亀戸,5-15-1　,いなきやビル3階,1,,1,1,1,1,,10:00~12:00,15:00~18:00,10:00~12:00,15:00~18:00,,,10:00~12:00,15:00~18:00,10:00~12:00,15:00~18:00,12:15~12:30,,12:15~12:30,,,,亀戸5-15-1　いなきやビル3階
ゆずるクリニック小川町1-972-7-2F,ゆずるクリニック,東京都小平市小川町1-972-7-2F,187-0032,042-348-8515,http://www.yuzuru-clinic.com,1,1,1,,,小平市,13211,小川町,1-972-7-2F,,1,,1,,1,1,,10:00~12:30,14:30~17:30,,,10:00~12:30,14:30~17:30,10:00~12:30,14:30~17:30,10:00~12:30,14:30~17:30,10:00~12:30,14:30~17:00,10:00~12:30,,コロナ診断後、責任を持って確実にフォローできないため、日本語が分からない外国人の方の対応は不能,1,小川町1-972-7-2F
花クリニック赤城元町２－４有恒ビル101,花クリニック,東京都新宿区赤城元町２－４有恒ビル101,162-0814,03-3269-8990,,,1,1,1,1,新宿区,13104,赤城元町,２－４有恒ビル101,,1,,1,1,,,,9:00~13:00,,9:00~13:00,,9:00~13:00,,9:00~13:00,,9:00~13:00,,9:00~13:00,,9:00~13:00,,,1,赤城元町２－４有恒ビル101
竹内病院荒川６－７－８,竹内病院,東京都荒川区荒川６－７－８,116-0002,03-3892-7771,,1,1,,,,荒川区,13118,荒川,６－７－８,,1,,1,,,1,,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~11:00,,,,,,荒川６－７－８
ときわ在宅クリニック墨田江東橋四丁目５番１０号デュオリスタ錦糸町１階,ときわ在宅クリニック墨田,東京都墨田区江東橋四丁目５番１０号デュオリスタ錦糸町１階,130-0022,050-3823-2318,,1,1,1,1,,墨田区,13107,江東橋四丁目,５番１０号デュオリスタ錦糸町１階,,1,,1,,1,1,,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,,,,,,,江東橋四丁目５番１０号デュオリスタ錦糸町１階
"医療法人社団ときわ練馬在宅クリニック中村北一丁目5番9号第二永崎ビル1階","医療法人社団ときわ練馬在宅クリニック",東京都練馬区中村北一丁目5番9号第二永崎ビル1階,176-0023,050-3823-2317,,1,1,1,1,,練馬区,13120,中村北一丁目,5番9号第二永崎ビル1階,,1,,1,,1,1,,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,,,,,,,中村北一丁目5番9号第二永崎ビル1階
医療法人社団ときわ　赤羽在宅クリニック赤羽二丁目69番6号 ベティロロマ1階101号,医療法人社団ときわ　赤羽在宅クリニック,東京都北区赤羽二丁目69番6号 ,115-0045,050-3823-2316,,1,1,1,1,,北区,13117,赤羽二丁目,69番6号 ,ベティロロマ1階101号,1,,1,,1,1,,,,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,,,,,,,赤羽二丁目69番6号 ベティロロマ1階101号
平塚耳鼻咽喉科クリニック高松町3－13－15,平塚耳鼻咽喉科クリニック,東京都立川市高松町3－13－15,190-0011,042-528-3387,,1,1,,1,,立川市,13202,高松町,3－13－15,,1,,1,1,,1,,,17:00~18:00,,17:00~18:00,,17:00~18:00,,,,17:00~18:00,,,,,,,高松町3－13－15
天沼きたがわ内科下井草1-32-5北誠ビル1階,天沼きたがわ内科,東京都杉並区下井草1-32-5北誠ビル1階,167-0022,03-3394-1401,,1,1,,,1,杉並区,13115,下井草,1-32-5北誠ビル1階,,,,1,1,1,,,9:00~12:00,14:30~17:00,9:00~12:00,14:30~17:00,9:00~12:00,14:30~17:00,9:00~12:00,,9:00~12:00,14:30~17:00,9:00~12:00,14:30~17:00,,,,,下井草1-32-5北誠ビル1階
社会福祉法人賛育会　賛育会病院太平3-20-2,社会福祉法人賛育会　賛育会病院,東京都墨田区太平3-20-2,130-0012,03-3622-9191,,1,1,,1,1,墨田区,13107,太平,3-20-2,,,1,,1,,,,10:00~11:30,13:30~15:00,10:00~11:30,,10:00~11:30,,10:00~11:30,13:30~15:00,10:00~11:30,,10:00~11:30,,,,,,太平3-20-2
落合パークサイドクリニック上落合1-1-4 鈴木ビル4F,落合パークサイドクリニック,東京都新宿区上落合1-1-4 ,161-0034,03-5338-4976,,1,1,,1,,新宿区,13104,上落合,1-1-4 ,鈴木ビル4F,1,,1,1,,1,,11:30~13:00,15:30~16:30,11:30~13:00,15:30~16:30,11:30~13:00,15:30~16:30,11:30~13:00,15:30~16:30,11:30~13:00,15:30~16:30,11:30~13:00,15:30~16:30,,,なし,,上落合1-1-4 鈴木ビル4F
東向島こどもと女性のクリニック東向島４－３２－９,東向島こどもと女性のクリニック,東京都墨田区東向島４－３２－９,131-0032,03-3619-6000,,1,1,,2,,墨田区,13107,東向島,４－３２－９,,1,,1,1,1,,,10:00~12:00,,10:00~12:00,,9:50~12:00,,,,9:50~12:00,,,12:00~13:30,,,,,東向島４－３２－９
医療法人社団碧水会　長谷川病院大沢2-20-36,医療法人社団碧水会　長谷川病院,東京都三鷹市大沢2-20-36,181-8586,0422-33-0814,,,1,,,,三鷹市,13204,大沢,2-20-36,,,,1,1,1,,,,,,,,13:00~15:00,,,,,,,,,,,大沢2-20-36
二子玉川齋藤メディカルクリニック玉川２丁目５番８号,二子玉川齋藤メディカルクリニック,東京都世田谷区玉川２丁目５番８号,158-0094,03-5491-5880,,1,1,1,,,世田谷区,13112,玉川,２丁目５番８号,,1,,1,1,,,,9:00~13:30,15:30~19:30,9:00~13:30,15:30~19:30,9:00~13:30,15:30~19:30,,,9:00~13:30,15:30~19:30,9:00~13:30,,,,日本,,玉川２丁目５番８号
医療法人社団三柚会 調布在宅クリニック布田三丁目１番地７－２階,医療法人社団三柚会 調布在宅クリニック,東京都調布市布田三丁目１番地７－２階,182-0024,0424267750,,,1,,,,調布市,13208,布田三丁目,１番地７－２階,,1,,1,1,1,1,,8:30~12:00,13:00~17:30,8:30~12:00,13:00~17:30,8:30~12:00,13:00~17:30,8:30~12:00,13:00~17:30,8:30~12:00,13:00~17:30,8:30~12:00,13:00~17:30,8:30~12:00,13:00~17:30,,1,布田三丁目１番地７－２階
"ツマキ医院西中延１丁目９－１３",ツマキ医院,"東京都品川区西中延１丁目９－１３",142-0054,03-3781-1570,,,1,,1,,品川区,13109,西中延,"１丁目９－１３",,,,1,1,1,1,,11:45~12:00,12:30~12:45,8:45~9:00,12:00~12:30,11:50~12:10,17:30~18:00,,,8:45~9:00,12:00~12:45,8:45~9:00,12:00~12:45,,,,,"西中延１丁目９－１３"
東海大学医学部付属東京病院代々木１－２－５,東海大学医学部付属東京病院,東京都渋谷区代々木１－２－５,151-0053,03-3370-2321,,,1,,,,渋谷区,13113,代々木,１－２－５,,1,,,,1,,,8:30~11:00,,8:30~11:00,,9:00~11:00,,9:00~11:00,,9:00~11:00,,9:00~11:00,,,,,,代々木１－２－５
医療法人社団柏裕会　西新宿今野クリニック西新宿7-21-7,医療法人社団柏裕会　西新宿今野クリニック,東京都新宿区西新宿7-21-7,160-0023,web予約,https://www.489map.com/helios/A2277908/reserve,1,1,1,1,,新宿区,13104,西新宿,7-21-7,,,,1,1,1,,,9:00~13:00,15:00~18:00,9:00~13:00,15:00~18:00,9:00~13:00,,9:00~13:00,15:00~18:00,9:00~13:00,15:00~18:00,9:00~13:00,,,,英語,,西新宿7-21-7
医療法人社団すこやか武蔵野　武蔵境駅前こどもクリニック境南町2-8-17 サンライズビルアキモト2階201号室,医療法人社団すこやか武蔵野　武蔵境駅前こどもクリニック,東京都武蔵野市境南町2-8-17 ,180-0023,0422-26-1031,,,1,,1,,武蔵野市,13203,境南町,2-8-17 ,サンライズビルアキモト2階201号室,1,,1,1,,,,12:00~12:30,17:30~18:00,12:00~12:30,17:30~18:00,12:00~12:30,17:30~18:00,12:00~12:30,,12:00~12:30,17:30~18:00,12:00~12:30,,,,,,境南町2-8-17 サンライズビルアキモト2階201号室
動坂下泌尿器科クリニック千駄木4-13-6-108,動坂下泌尿器科クリニック,東京都文京区千駄木4-13-6-108,113-0022,03-5834-7735,,,1,,,,文京区,13105,千駄木,4-13-6-108,,1,,,,,1,,,13:00~14:00,,13:00~14:00,,,,13:00~14:00,,13:00~14:00,,13:00~14:30,,,,,千駄木4-13-6-108
"医療法人社団創福会　ふくろうクリニック自由が丘奥沢6-20-23　フォーラム自由が丘1階・2階","医療法人社団創福会　ふくろうクリニック自由が丘",東京都世田谷区奥沢6-20-23　,158-0083,03-3701-3351,,,1,,,,世田谷区,13112,奥沢,6-20-23　,フォーラム自由が丘1階・2階,1,,1,,1,1,,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,,奥沢6-20-23　フォーラム自由が丘1階・2階
ひでまる救急クリニック目黒1-4-11 NTビルディング1階2階,ひでまる救急クリニック,東京都目黒区目黒1-4-11 ,153-0063,web予約,https://hidemaru-clinic.com,1,1,1,1,1,目黒区,13110,目黒,1-4-11 ,NTビルディング1階2階,1,,1,1,1,1,,10:00~12:00,12:00~21:30,10:00~12:00,12:00~21:30,10:00~12:00,12:00~21:30,10:00~12:00,12:00~21:30,,,,14:00~21:30,10:00~12:00,12:00~21:30,英語 その他（翻訳機使用）,1,目黒1-4-11 NTビルディング1階2階
医療法人社団　爽健会　中田医院中里2-20-15　パルシティ駒込202,医療法人社団　爽健会　中田医院,東京都北区中里2-20-15　,114-0015,03-3940-0504,,1,1,1,,,北区,13117,中里,2-20-15　,パルシティ駒込202,1,,1,,1,1,,9:30~12:30,,9:30~12:30,,9:30~12:00,,,,9:30~12:00,,9:30~12:30,,,,,,中里2-20-15　パルシティ駒込202
てらすクリニックひきふね東向島2-30-10,てらすクリニックひきふね,東京都墨田区東向島2-30-10,131-0032,03-6661-8974,,1,1,1,1,,墨田区,13107,東向島,2-30-10,,1,1,1,1,,1,,10:00~12:00,16:00~20:00,10:00~12:00,16:00~20:00,,,10:00~12:00,16:00~20:00,10:00~12:00,16:00~20:00,10:00~12:00,14:00~17:00,10:00~12:00,14:00~17:00,,1,東向島2-30-10
医療法人社団 城東桐和会 タムス耳鼻科クリニック新小岩駅前新小岩二丁目１番１号 リーフコンフォート新小岩２階,医療法人社団 城東桐和会 タムス耳鼻科クリニック新小岩駅前,東京都葛飾区新小岩二丁目１番１号 ,124-0024,03-5678-6550,,1,1,1,1,,葛飾区,13122,新小岩二丁目,１番１号 ,リーフコンフォート新小岩２階,1,,1,1,1,1,,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~12:00,13:00~15:00,9:00~12:00,13:00~15:00,,,新小岩二丁目１番１号 リーフコンフォート新小岩２階
医療法人社団 城東桐和会 タムス総合クリニック府中駅前宮町一丁目１００番地 ４階,医療法人社団 城東桐和会 タムス総合クリニック府中駅前,東京都府中市宮町一丁目１００番地 ,183-0023,042-319-8383,,1,1,1,1,,府中市,13206,宮町一丁目,１００番地 ,４階,1,,1,,1,1,,9:00~12:00,14:30~18:30,9:00~12:00,14:30~18:30,9:00~12:00,14:30~18:30,9:00~12:00,14:30~18:30,9:00~12:00,14:30~18:30,9:00~12:00,13:00~15:00,,,,,宮町一丁目１００番地 ４階
医療法人社団 城東桐和会 タムス総合クリニック東陽町駅前東陽三丁目２７番１７号 長谷川ビル３階,医療法人社団 城東桐和会 タムス総合クリニック東陽町駅前,東京都江東区東陽三丁目２７番１７号 ,135-0016,03-5665-2381,,1,1,1,1,,江東区,13108,東陽三丁目,２７番１７号 ,長谷川ビル３階,1,,1,,1,1,,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~12:00,13:00~15:00,,,,,東陽三丁目２７番１７号 長谷川ビル３階
医療法人社団 城東桐和会 タムス総合クリニック新小岩駅前新小岩二丁目１番１号 リーフコンフォート新小岩３階,医療法人社団 城東桐和会 タムス総合クリニック新小岩駅前,東京都葛飾区新小岩二丁目１番１号 ,124-0024,03-5678-5616,,1,1,1,1,,葛飾区,13122,新小岩二丁目,１番１号 ,リーフコンフォート新小岩３階,1,,1,,1,1,,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~12:00,13:00~15:00,9:00~12:00,13:00~15:00,,1,新小岩二丁目１番１号 リーフコンフォート新小岩３階
医療法人社団 城東桐和会 タムス総合クリニック平井駅前平井三丁目２３番１８号 光井グランドハイツ２階,医療法人社団 城東桐和会 タムス総合クリニック平井駅前,東京都江戸川区平井三丁目２３番１８号 ,132-0035,03-5875-3377,,1,1,1,1,,江戸川区,13123,平井三丁目,２３番１８号 ,光井グランドハイツ２階,1,,1,,1,1,,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~15:30,9:00~12:00,13:00~15:00,,,,,平井三丁目２３番１８号 光井グランドハイツ２階
医療法人社団 城東桐和会 タムス総合クリニック小岩東小岩四丁目５番２号 神奈川ビル２階,医療法人社団 城東桐和会 タムス総合クリニック小岩,東京都江戸川区東小岩四丁目５番２号 ,133-0052,03-5612-3702,,1,1,1,1,,江戸川区,13123,東小岩四丁目,５番２号 ,神奈川ビル２階,1,,1,,1,1,,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~13:00,14:30~18:30,9:00~12:00,13:00~15:00,,,,,東小岩四丁目５番２号 神奈川ビル２階
こくぶん医院北町１－３６－１８,こくぶん医院,東京都練馬区北町１－３６－１８,179-0081,03-3933-5550,,1,1,1,,,練馬区,13120,北町,１－３６－１８,,1,,1,1,1,1,,11:30~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,,,11:00~12:00,17:00~18:00,11:00~12:00,,,,,,北町１－３６－１８
八広同仁会クリニック八広6-29-14,八広同仁会クリニック,東京都墨田区八広6-29-14,131-0041,03-3619-4471,,1,1,1,1,1,墨田区,13107,八広,6-29-14,,1,,1,1,1,1,,9:00~11:00,14:00~17:00,9:00~11:00,14:00~17:00,9:00~11:00,,9:00~11:00,14:00~17:00,9:00~11:00,14:00~17:00,9:00~11:00,,,,日本語・英語・スペイン語,,八広6-29-14
リバーシティクリニック東京佃1-11-8 ピアウエストスクエア2F,リバーシティクリニック東京,東京都中央区佃1-11-8 ,104-0051,03-6219-7771,,1,1,1,,,中央区,13102,佃,1-11-8 ,ピアウエストスクエア2F,1,,1,1,1,,,9:30~13:00,14:30~18:00,9:30~13:00,14:30~18:00,9:30~13:00,14:30~18:00,9:30~13:00,14:30~18:00,9:30~13:00,14:30~18:00,,,,,,,佃1-11-8 ピアウエストスクエア2F
